Rang,Ville,Population,Code postal
1,Paris,2113705,75000
2,Marseille,877215,13000
3,Lyon,520774,69000
4,Toulouse,511684,31000
5,Nice,353701,6000
6,Nantes,325070,44000
7,Montpellier,307101,34000
8,Strasbourg,291709,67000
9,Bordeaux,265328,33000
10,Lille,238695,59000
11,Rennes,227830,35000
12,Toulon,180834,83000
13,Reims,178478,51100
14,Saint-Étienne,172569,42000
15,Le Havre,166462,76600
16,Villeurbanne,162207,69100
17,Dijon,159941,21000
18,Angers,157555,49000
19,Grenoble,156389,38000
20,Saint-Denis,156149,93200
21,Nîmes,150444,30000
22,Saint-Denis (La Réunion),148907,97400
23,Aix-en-Provence,147933,13100
24,Clermont-Ferrand,147751,63000
25,Le Mans,145182,72000
26,Brest,140993,29200
27,Tours,138668,37000
28,Amiens,134780,80000
29,Annecy,131272,74000
30,Limoges,129754,87000
31,Metz,121695,57000
32,Perpignan,120996,66000
33,Boulogne-Billancourt,120205,92100
34,Besançon,120057,25000
35,Orléans,116344,45000
36,Rouen,116331,76000
37,Montreuil,110758,93100
38,Caen,108398,14000
39,Argenteuil,107135,95100
40,Saint-Paul (La Réunion),106220,97460
41,Mulhouse,104924,68100
42,Nancy,104387,54000
43,Roubaix,99507,59100
44,Tourcoing,99160,59200
45,Nanterre,98119,92000
46,Vitry-sur-Seine,95282,94400
47,Créteil,92859,94000
48,Avignon,91760,84000
49,Asnières-sur-Seine,91457,92600
50,Colombes,90692,92700
51,Aubervilliers,89489,93300
52,Poitiers,89472,86000
53,Dunkerque,87013,59140
54,Aulnay-sous-Bois,86360,93600
55,Saint-Pierre (La Réunion),85254,97410
56,Versailles,83918,78000
57,Le Tampon (La Réunion),81964,97430
58,Courbevoie,81945,92400
59,Rueil-Malmaison,80842,92500
60,Béziers,80815,34500
61,La Rochelle,79961,17000
62,Pau,78620,64000
63,Champigny-sur-Marne,78367,94500
64,Cherbourg-en-Cotentin,78028,50100
65,Mérignac,77136,33700
66,Antibes,76612,6600
67,Saint-Maur-des-Fossés,76010,94100
68,Ajaccio,75343,20000
69,Fort-de-France,75165,97200
70,Cannes,74040,6400
71,Saint-Nazaire,73111,44600
72,Noisy-le-Grand,71632,93160
73,Drancy,71312,93700
74,Cergy,69578,95000
75,Levallois-Perret,68412,92300
76,Issy-les-Moulineaux,67695,92130
77,Calais,67585,62100
78,Colmar,67360,68000
79,Pessac,66874,33600
80,Vénissieux,66701,69200
81,Évry-Courcouronnes,66700,91000
82,Clichy,65102,92110
83,Quimper,64530,29000
84,Ivry-sur-Seine,64526,94200
85,Valence,64288,26000
86,Bourges,64238,18000
87,Antony,64026,92160
88,Cayenne,63956,97300
89,La Seyne-sur-Mer,62905,83500
90,Montauban,62487,82000
91,Troyes,62443,10000
92,Villeneuve-d’Ascq,62342,59491
93,Pantin,60954,93500
94,Chambéry,60251,73000
95,Niort,60074,79000
96,Le Blanc-Mesnil,59912,93150
97,Neuilly-sur-Seine,59200,92200
98,Sarcelles,58576,95200
99,Fréjus,58499,83600
100,Lorient,58202,56100
